rank,chart_label,line_code,line_name,area,operator,central_mln,low_mln,high_mln,status,data_year,method,color_hex,color_note,primary_source,secondary_source,color_source,color_role,color_confidence
11,11. Bologna-Piacenza-Milano,Bologna-Piacenza-Milano,Bologna – Piacenza – Milano,Emilia-Romagna/Lombardia,Trenitalia Tper / Trenitalia,10.56,10.3,10.8,R/S,2025,Stima da dati di frequentazione Regione Emilia-Romagna per linea/stazione e tipo giorno,#6DA044,operator/service fallback: Trenitalia Regionale/Regionale Veloce green in Wikipedia Module:Adjacent stations/Trenitalia; no line-specific color used,https://mobilita.regione.emilia-romagna.it/ferrovie/dati-e-progetti/frequentazioni,,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenitalia,operator/service fallback,module + official brand color family
12,12. S1,S1,S1 Saronno – Milano Passante – Lodi,Lombardia,Trenord,10.4265,10.4265,10.4265,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#EE162A,line color from Wikipedia Module:Adjacent stations/Trenord; not institutional guideline,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,line,module
13,13. FL8,FL8,FL8 Roma – Nettuno,Lazio,Trenitalia,9.9,9.7,10.1,S,2025 stimato,"Stima modellata: baseline 2019 scalata su DR Lazio 2025, circa media con componente mare/leisure",#66C659,line color from Wikipedia Module:Adjacent stations/FL lines; not institutional guideline,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,line,module
14,14. FL4,FL4,FL4 Roma – Castelli Romani,Lazio,Trenitalia,9.85,9.7,10.0,S,2025 stimato,"Stima modellata: baseline 2019 scalata su DR Lazio 2025, leggermente sotto media per pendolarismo",#91510F,line color from Wikipedia Module:Adjacent stations/FL lines; not institutional guideline,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,line,module
15,15. FL6,FL6,FL6 Roma – Frosinone/Cassino,Lazio,Trenitalia,9.7,9.5,9.9,S,2025 stimato,"Stima modellata: baseline 2019 scalata su DR Lazio 2025, sotto media per pendolarismo/interurbano",#DC66BA,line color from Wikipedia Module:Adjacent stations/FL lines; not institutional guideline,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,line,module
16,16. S11,S11,S11 Chiasso – Seregno – Milano Porta Garibaldi,Lombardia/Ticino,Trenord,9.4652,9.4652,9.4652,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#9B8EC4,line color from Wikipedia Module:Adjacent stations/Trenord; not institutional guideline,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,line,module
17,17. RE80,RE80,RE80 Locarno – Chiasso – Como – Milano Centrale,Ticino/Lombardia,TILO / Trenord,9.0559,9.0559,9.0559,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#268BCC,"operator fallback: Blu Ticino / Ticino flag blue (#268BCC), used for TILO/RE80 per user instruction; Canton Ticino law defines azzurro as Pantone 293",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://www.flagcolorcodes.com/ticino,operator fallback,operator fallback; Ticino blue
18,18. S13,S13,S13 Pavia – Milano Passante – Milano Bovisa,Lombardia,Trenord,8.2505,8.2505,8.2505,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#89580C,line color from Wikipedia Module:Adjacent stations/Trenord; not institutional guideline,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,line,module
19,19. S9,S9,S9 Saronno – Seregno – Milano San Cristoforo – Albairate,Lombardia,Trenord,8.0912,8.0912,8.0912,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#9E3A98,line color from Wikipedia Module:Adjacent stations/Trenord; not institutional guideline,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,line,module
20,20. Padova-Venezia,Padova-Venezia,Padova – Venezia Mestre/Venezia S.L.,Veneto,Trenitalia,8.0,7.4,8.2,S,2025 stimato,Stima modellata da baseline pre-Covid e totale regionale Trenitalia Veneto 2025; non dato linea ufficiale,#6DA044,operator/service fallback: Trenitalia Regionale/Regionale Veloce green in Wikipedia Module:Adjacent stations/Trenitalia; no line-specific color used,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Veneto.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenitalia,operator/service fallback,module + official brand color family
