rank,line_code,line_name,central_mln,low_mln,high_mln,status,formula_or_rule,input_values_or_assumptions,reproducibility_level,method_note,primary_source,secondary_source
11,Bologna-Piacenza-Milano,Bologna – Piacenza – Milano,10.56,10.3,10.8,R/S,central_mln = stima da frequentazioni ufficiali disponibili per linea/stazione/tipo giorno; trasformazione annuale non pienamente automatizzata nel repo,fonte primaria indicata in primary_source,parziale: valore finale archiviato; passaggi di ricostruzione descritti ma non tutti automatizzati,Stima da dati di frequentazione Regione Emilia-Romagna per linea/stazione e tipo giorno,https://mobilita.regione.emilia-romagna.it/ferrovie/dati-e-progetti/frequentazioni,
12,S1,S1 Saronno – Milano Passante – Lodi,10.4265,10.4265,10.4265,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
13,FL8,FL8 Roma – Nettuno,9.9,9.7,10.1,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo","Stima modellata: baseline 2019 scalata su DR Lazio 2025, circa media con componente mare/leisure",https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
14,FL4,FL4 Roma – Castelli Romani,9.85,9.7,10.0,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo","Stima modellata: baseline 2019 scalata su DR Lazio 2025, leggermente sotto media per pendolarismo",https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
15,FL6,FL6 Roma – Frosinone/Cassino,9.7,9.5,9.9,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo","Stima modellata: baseline 2019 scalata su DR Lazio 2025, sotto media per pendolarismo/interurbano",https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
16,S11,S11 Chiasso – Seregno – Milano Porta Garibaldi,9.4652,9.4652,9.4652,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
17,RE80,RE80 Locarno – Chiasso – Como – Milano Centrale,9.0559,9.0559,9.0559,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
18,S13,S13 Pavia – Milano Passante – Milano Bovisa,8.2505,8.2505,8.2505,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
19,S9,S9 Saronno – Seregno – Milano San Cristoforo – Albairate,8.0912,8.0912,8.0912,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
20,Padova-Venezia,Padova – Venezia Mestre/Venezia S.L.,8.0,7.4,8.2,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo",Stima modellata da baseline pre-Covid e totale regionale Trenitalia Veneto 2025; non dato linea ufficiale,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Veneto.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
